Name,POS,Team,Age,Trade Value,SF Trade Value
Blake Corum,RB,LAR,24.0,233.0435953,199.7289483
Darnell Mooney,WR,ATL,27.0,232.9018474,198.4377448
Mason Taylor,TE,NYJ,21.0,232.8933649,198.2397276
Travis Etienne Jr.,RB,JAX,26.0,231.433498,197.5040208
Dak Prescott,QB,DAL,31.0,229.7716796,456.3520393
Rachaad White,RB,TB,26.0,228.3880485,196.976413
Jared Goff,QB,DET,30.0,225.8234439,462.721997
Rhamondre Stevenson,RB,NE,27.0,225.54547,196.6357128
Stefon Diggs,WR,NE,31.0,223.307539,188.8813965
Cooper Kupp,WR,SEA,31.0,220.594971,187.830704
Marvin Mims Jr.,WR,DEN,23.0,220.5660722,185.0211959
Jalen McMillan,WR,TB,23.0,219.3712306,183.546992
Cedric Tillman,WR,CLE,25.0,214.4998172,182.6429351
Travis Kelce,TE,KC,35.0,214.1120063,182.2863675
Kyle Pitts,TE,ATL,24.0,213.0662421,179.2489689
Ray Davis,RB,BUF,25.0,207.8730071,175.9956802
MarShawn Lloyd,RB,GB,24.0,206.8365561,174.9720812
DJ Giddens,RB,IND,21.0,204.7484767,172.55375
Devin Neal,RB,NO,21.0,204.2152666,172.4202085
Jalen Coker,WR,CAR,23.0,201.2776685,171.9200013
Justin Fields,QB,NYJ,26.0,200.3801384,452.8763071
Rashod Bateman,WR,BAL,25.0,198.0273212,171.1307518
Marquise Brown,WR,KC,27.0,197.1922863,168.9526778
J.J. McCarthy,QB,MIN,22.0,196.8887446,463.1998502
Cam Ward,QB,TEN,23.0,194.8449539,439.6746104
Isaiah Likely,TE,BAL,25.0,193.0950919,168.3274914
Tyler Allgeier,RB,ATL,25.0,192.9479041,167.4760903
Jordan James,RB,SF,21.0,192.9229694,167.2260631
Jalen Royals,WR,KC,22.0,192.5846036,166.2633479
Javonte Williams,RB,DAL,25.0,191.2519593,164.2980893
Harold Fannin Jr.,TE,CLE,20.0,189.1260347,164.2756928
Brashard Smith,RB,KC,22.0,187.6443023,163.7296813
Isaac TeSlaa,WR,DET,23.0,187.4985582,163.1038225
Brenton Strange,TE,JAX,24.0,187.2229814,160.5480556
Bryce Young,QB,CAR,23.0,186.5982044,422.2850332
Jonathon Brooks,RB,CAR,21.0,185.1330311,159.9314036
Xavier Legette,WR,CAR,24.0,184.0778451,169.0617852
Christian Watson,WR,GB,26.0,183.995805,157.7957447
Braelon Allen,RB,NYJ,21.0,182.1244149,156.795214
Rico Dowdle,RB,CAR,26.0,180.8987316,155.463219
Jake Ferguson,TE,DAL,26.0,180.1288183,153.3226091
Elic Ayomanor,WR,TEN,21.0,180.0669558,153.2682099
Pat Freiermuth,TE,PIT,26.0,179.8625644,152.3807981
Woody Marks,RB,HOU,24.0,179.057796,151.6569139
Tahj Brooks,RB,CIN,23.0,176.8290013,151.1226325
Adonai Mitchell,WR,IND,22.0,175.203157,148.9911938
Trevor Etienne,RB,CAR,20.0,174.4793275,148.4768045
Dallas Goedert,TE,PHI,30.0,172.5606702,148.3546892
Roschon Johnson,RB,CHI,24.0,171.8831677,146.6675042
Christian Kirk,WR,HOU,28.0,171.1445001,146.0717376
Anthony Richardson,QB,IND,23.0,170.4081761,326.2445464
Ollie Gordon II,RB,MIA,21.0,170.0628582,144.7746932
Michael Penix Jr.,QB,ATL,25.0,169.7743446,388.4995743
Tank Dell,WR,HOU,25.0,168.5849049,144.3135938
J.K. Dobbins,RB,FA,26.0,166.557781,143.9593692
Savion Williams,WR,GB,23.0,164.4660111,143.1713867
Isaiah Davis,RB,NYJ,23.0,164.4637481,140.2357062
Tai Felton,WR,MIN,22.0,162.6021295,140.1179483
Dontayvion Wicks,WR,GB,23.0,161.9691418,139.5474181
Audric Estime,RB,DEN,21.0,161.5787199,136.7481871
Cole Kmet,TE,CHI,26.0,161.2804784,135.8198579
Jermaine Burton,WR,CIN,23.0,160.2247876,134.5471852
Tory Horton,WR,SEA,22.0,158.7775113,132.1546349
Will Shipley,RB,PHI,22.0,157.3447534,131.8944221
Kendre Miller,RB,NO,22.0,156.0567165,131.6361153
Sean Tucker,RB,TB,23.0,155.4670589,131.348468
Wan'Dale Robinson,WR,NYG,24.0,155.1324363,131.3418625
Jaxson Dart,QB,NYG,22.0,151.5487995,330.0492806
Joshua Palmer,WR,BUF,25.0,151.0561378,139.9985399
Geno Smith,QB,LV,34.0,150.355056,300.3244163
Hunter Henry,TE,NE,30.0,150.1591911,128.190566
Ja'Tavion Sanders,TE,CAR,22.0,149.4884243,127.7573404
